target_id	length	eff_length	est_counts	tpm
Smic326	750	522.502	5	0.444676
Smic327	321	111.518	0	0
Smic328	597	370.09	2	0.251122
Smic329	204	32.2761	8	11.5178
Smic330	2580	2351.76	73	1.44242
Smic331	3777	3548.76	0	0
Smic332	1272	1043.76	0	0
Smic333	7038	6809.76	207	1.41254
Smic334	3816	3587.76	78	1.01026
Smic335	2499	2270.76	0	0
Smic336	6087	5858.76	0	0
Smic337	636	408.818	37	4.20565
Smic338	2859	2630.76	191	3.37376
Smic339	435	212.351	0	0
Smic340	1227	998.76	113	5.2575
Smic341	600	373.09	2	0.249102
Smic342	1953	1724.76	0	0
Smic343	1779	1550.76	11	0.329617
Smic344	3546	3317.76	8	0.112049
Smic345	708	480.601	69	6.67154
Smic346	297	92.6794	0	0
Smic347	270	73.4729	0	0
Smic348	1650	1421.76	0	0
Smic349	1494	1265.76	0	0
Smic350	3786	3557.76	5	0.0653063
Smic351	669	441.694	4	0.420824
Smic352	1467	1238.76	85.5155	3.20789
Smic353	627	399.818	9	1.04602
Smic354	3558	3329.76	65	0.907115
Smic355	10131	9902.76	0	0
Smic356	1068	839.76	73	4.03952
Smic357	798	570.336	64	5.21448
Smic358	2082	1853.76	0	0
Smic359	5322	5093.76	39	0.355785
Smic360	1035	806.76	27	1.55518
Smic361	1260	1031.76	212	9.54815
Smic362	1170	941.76	46	2.26976
Smic363	1683	1454.76	248	7.92177
Smic364	399	178.847	2	0.519648
Smic365	1263	1034.76	49	2.20049
Smic366	2655	2426.76	55	1.05317
Smic367	246	57.3052	0	0
Smic368	3534	3305.76	29	0.407651
Smic369	1677	1448.76	39	1.25092
Smic370	1578	1349.76	5	0.172137
Smic371	288	85.8353	1	0.541373
Smic372	1122	893.76	82	4.26339
Smic373	852	624.04	5	0.372323
Smic374	2538	2309.76	19	0.382251
Smic375	7395	7166.76	0	0
Smic376	2535	2306.76	72	1.45041
Smic377	19002	18773.8	198	0.49009
Smic378	3291	3062.76	83	1.25929
Smic379	3354	3125.76	270	4.01393
Smic380	360	144.279	12	3.86492
Smic381	1926	1697.76	25	0.684267
Smic382	2274	2045.76	0	0
Smic383	9993	9764.76	190	0.904178
Smic384	1335	1106.76	0	0
Smic385	2238	2009.76	0	0
Smic386	5502	5273.76	48	0.422944
Smic387	753	525.45	14.5859	1.28992
Smic388	1905	1676.76	44	1.21939
Smic389	3837	3608.76	0	0
Smic390	771	543.45	0	0
Smic391	870	641.978	23	1.66483
Smic392	3576	3347.76	606	8.41163
Smic393	1146	917.76	0	0
Smic394	4242	4013.76	0	0
Smic395	1425	1196.76	0	0
Smic396	1122	893.76	0	0
Smic397	3033	2804.76	0	0
Smic398	5229	5000.76	372	3.45676
Smic399	1179	950.76	31	1.51514
Smic400	2073	1844.76	17	0.428224
Smic401	5544	5315.76	35	0.30596
Smic402	3522	3293.76	0	0
Smic403	615	387.976	0	0
Smic404	3873	3644.76	16	0.203992
Smic405	4791	4562.76	0	0
Smic406	915	686.91	0	0
Smic407	1692	1463.76	0	0
Smic408	3540	3311.76	54	0.757699
Smic409	1806	1577.76	0	0
Smic410	228	45.8156	20	20.2852
Smic411.t1	507	281.564	13	2.1455
Smic412	1452	1223.76	44	1.67078
Smic413	831	603.102	30	2.31149
Smic414	3327	3098.76	20	0.299919
Smic415	1305	1076.76	7	0.302093
Smic416	6351	6122.76	0	0
Smic417	6318	6089.76	0	0
Smic418	855	626.978	0	0
Smic419	1974	1745.76	13	0.346036
Smic420	504	278.62	22	3.6692
Smic421	561	334.434	22	3.05685
Smic422	1143	914.76	0	0
Smic423	5247	5018.76	32	0.296289
Smic424	834	606.102	11	0.843353
Smic425	1488	1259.76	56	2.06568
Smic426	651	423.694	0	0
Smic427	1695	1466.76	41	1.29893
Smic428	297	92.6794	45	22.5627
Smic429	1023	794.76	43	2.51417
Smic430	549	322.631	64	9.21799
Smic431	609	382.053	0	0
Smic432	552	325.533	39	5.56713
Smic433	1938	1709.76	99	2.69068
Smic434	2205	1976.76	12	0.282091
Smic435	309	102.031	0	0
Smic436	3054	2825.76	27	0.444008
Smic437	1974	1745.76	35	0.931634
Smic438	768	540.45	51	4.38507
Smic439	666	438.694	54	5.71997
Smic440	465	240.703	13	2.50972
Smic441	1722	1493.76	244	7.59051
Smic442	1227	998.76	7	0.325686
Smic443	978	749.836	0	0
Smic444	882	653.978	0	0
Smic445	474	249.258	70	13.05
Smic446	1011	782.76	0	0
Smic447	1551	1322.76	65	2.28346
Smic448	1302	1073.76	89	3.85163
Smic449	618	390.937	62	7.36965
Smic450	1506	1277.76	54	1.96384
Smic451	2376	2147.76	0	0
Smic452	285	83.8163	0	0
Smic453	5406	5177.76	18	0.161545
Smic454	222	42.2994	6	6.59141
Smic455	7725	7496.76	272	1.686
Smic456	1506	1277.76	36	1.30923
Smic457	972	743.836	0	0
Smic458	1440	1211.76	22	0.843661
Smic459	1836	1607.76	115	3.32383
Smic460	225	44.0005	0	0
Smic461	5013	4784.76	0	0
Smic462	828	600.102	33	2.55535
Smic463	633	405.818	1	0.114507
Smic464	2460	2231.76	4	0.0832865
Smic465	3531	3302.76	0	0
Smic466	1116	887.76	10	0.523439
Smic467	3273	3044.76	0	0
Smic468	426	204.093	0	0
Smic469	13743	13514.8	547	1.88079
Smic470	9507	9278.76	602.257	3.01616
Smic471	327	116.289	16	6.39359
Smic472	573	346.161	5	0.671203
Smic473	4731	4502.76	120	1.23841
Smic474	975	746.836	85	5.28878
Smic475	1473	1244.76	297	11.0875
Smic476	498	272.676	0	0
Smic477	5331	5102.76	295	2.68645
Smic478	2691	2462.76	56	1.05664
Smic479	984	755.836	17	1.04516
Smic480	6744	6515.76	189	1.3479
Smic481	1455	1226.76	0	0
Smic482	867	638.978	0	0
Smic483	2382	2153.76	7	0.15103
Smic484	1938	1709.76	62	1.68507
Smic485	3915	3686.76	152	1.91585
Smic486	2058	1829.76	51	1.2952
Smic487	1806	1577.76	254	7.48092
Smic488	861	632.978	34	2.49604
Smic489	474	249.258	90	16.7786
Smic490	2007	1778.76	68	1.77645
Smic491	2082	1853.76	33	0.827223
Smic492	1413	1184.76	49	1.92189
Smic493	8466	8237.76	289.748	1.63446
Smic494	14310	14081.8	194.024	0.640266
Smic495	5127	4898.76	0	0
Smic496	13125	12896.8	0	0
Smic497	4479	4250.76	12.2767	0.134207
Smic498	1596	1367.76	163	5.53783
Smic499	330	118.748	2	0.782647
Smic500	1125	896.76	0	0
Smic501	1857	1628.76	14	0.399423
Smic502	16107	15878.8	1228.31	3.59463
Smic503	4314	4085.76	8	0.0909869
Smic504	3288	3059.76	90	1.36684
Smic505	1329	1100.76	20	0.844305
Smic506	1881	1652.76	87	2.44608
Smic507	2289	2060.76	285	6.42657
Smic508	1611	1382.76	16	0.537694
Smic509	1725	1496.76	10	0.310463
Smic510	1308	1079.76	31	1.33412
Smic511	1209	980.76	3	0.142141
Smic512	747	519.502	228	20.3943
Smic513	5724	5495.76	0	0
Smic514	3651	3422.76	36	0.488751
Smic515	2010	1781.76	509	13.2749
Smic516	2064	1835.76	29	0.734081
Smic517	2844	2615.76	27	0.479654
Smic518	2748	2519.76	66.2543	1.22185
Smic519	3213	2984.76	66.9995	1.0431
Smic520	684	456.694	23	2.34026
Smic521	441	217.956	12	2.55843
Smic522	3384	3155.76	34	0.500653
Smic523	1188	959.76	29	1.4041
Smic524	462	237.896	0	0
Smic525	6165	5936.76	28	0.219165
Smic526	5847	5618.76	374	3.09309
Smic527	1050	821.76	23	1.3006
Smic528	2442	2213.76	9	0.188918
Smic529	561	334.434	1	0.138948
Smic530	1425	1196.76	243	9.43542
Smic531	246	57.3052	0	0
Smic532	489	263.999	17	2.99232
Smic533	456	232.205	32	6.40385
Smic534	432	209.587	63	13.9681
Smic535	8496	8267.76	219	1.23089
Smic536	4875	4646.76	0	0
Smic537	2493	2264.76	36	0.738656
Smic538	1578	1349.76	10	0.344275
Smic539	7122	6893.76	0	0
Smic540	1416	1187.76	0	0
Smic541	1305	1076.76	0	0
Smic542	1560	1331.76	8	0.279143
Smic543	708	480.601	0	0
Smic544	351	136.833	1	0.339603
Smic545	846	618.04	4	0.30075
Smic546	2718	2489.76	14	0.261296
Smic547	3756	3527.76	31	0.408343
Smic548	3294	3065.76	6	0.0909442
Smic549	5394	5165.76	387	3.48128
Smic550	1167	938.76	57	2.82151
Smic551	1737	1508.76	160	4.9279
Smic552	780	552.45	31	2.60754
Smic553	207	34.0052	0	0
Smic554	381	162.358	5	1.43106
Smic555	6390	6161.76	172	1.29714
Smic556	7365	7136.76	52	0.338582
Smic557	1653	1424.76	16	0.521843
Smic558	3390	3161.76	0	0
Smic559	3777	3548.76	0	0
Smic560	2037	1808.76	40	1.02764
Smic561	1872	1643.76	7	0.197889
Smic562	558	331.467	43	6.02823
Smic563	2064	1835.76	159	4.02479
Smic564	1512	1283.76	0	0
Smic565	3495	3266.76	0	0
Smic566	1839	1610.76	22	0.634679
Smic567	3816	3587.76	167	2.16299
Smic568	2835	2606.76	1	0.0178263
Smic569	2202	1973.76	28	0.659213
Smic570	3498	3269.76	0	0
Smic571	525	299.214	0	0
Smic572	615	387.976	0	0
Smic573	817	589.161	0	0
Smic574	1284	1055.76	8	0.352117
Smic575	2310	2081.76	0	0
Smic576	2280	2051.76	0	0
Smic577	1422	1193.76	0	0
Smic578	7095	6866.76	0	0
Smic579	2202	1973.76	0	0
Smic580	1212	983.76	0	0
Smic581	4698	4469.76	7	0.0727739
Smic582	3690	3461.76	0	0
Smic583	543	316.727	1	0.146716
Smic584	1215	986.76	112	5.27434
Smic585	384	164.917	60	16.9062
Smic586	906	677.978	0	0
Smic587	2592	2363.76	0	0
Smic588	2601	2372.76	1	0.0195843
Smic589	720	492.552	0	0
Smic590	1254	1025.76	172	7.79192
Smic591	603	376.053	0	0
Smic592	1710	1481.76	13	0.407688
Smic593	7533	7304.76	0	0
Smic594	1077	848.76	0	0
Smic595	276	77.6543	0	0
Smic596	1209	980.76	36	1.7057
Smic597	2625	2396.76	82	1.58983
Smic598	558	331.467	10	1.40191
Smic599	2112	1883.76	362	8.92987
Smic600	1500	1271.76	48	1.75387
Smic601	447	223.62	19	3.94825
Smic602	1881	1652.76	42	1.18087
Smic603	1308	1079.76	37	1.59234
Smic604	1581	1352.76	10	0.343511
Smic605	498	272.676	16	2.72669
Smic606	3375	3146.76	21	0.310111
Smic607	5715	5486.76	166	1.4059
Smic608	2841	2612.76	0	0
Smic609	4890	4661.76	116	1.1563
Smic610	774	546.45	21	1.78579
Smic611	459	235.039	12	2.37248
Smic612	1935	1706.76	0	0
Smic613	1920	1691.76	0	0
Smic614	210	35.6899	12	15.6242
Smic615	474	249.258	59	10.9993
Smic616	279	79.7324	0	0
Smic617	2622	2393.76	26	0.504725
Smic618	3165	2936.76	63	0.99686
Smic619	1203	974.76	19	0.90577
Smic620	2103	1874.76	21	0.520518
Smic621	201	30.8266	0	0
Smic622	1140	911.76	132	6.72753
Smic623	1026	797.76	0	0
Smic624	1044	815.76	6	0.341783
Smic625	783	555.45	18	1.50588
Smic626	2229	2000.76	43	0.998701
Smic627	3846	3617.76	4	0.0513786
Smic628	2226	1997.76	22	0.511731
Smic629	513	287.478	0	0
Smic630	765	537.45	8	0.691694
Smic631	2601	2372.76	172	3.3685
Smic632	5751	5522.76	4	0.0336563
Smic633	1779	1550.76	9	0.269687
Smic634	3090	2861.76	190.266	3.08951
Smic635	3267	3038.76	13	0.198797
Smic636	8481	8252.76	37	0.208336
Smic637	420	198.483	0	0
Smic638	525	299.214	0	0
Smic639	999	770.76	27	1.62782
Smic640	1209	980.76	36	1.7057
Smic641	219	40.659	10	11.4289
Smic642	228	45.8156	13	13.1854
Smic643	633	405.818	117	13.3973
Smic644	642	414.736	81	9.0756
Smic645	5484	5255.76	210.488	1.86103
Smic646	10200	9971.76	186.876	0.870852
Smic647	1023	794.76	22	1.28632
Smic648	336	123.874	9	3.37617
Smic649	396	176.158	0	0
Smic650	2085	1856.76	94	2.35252
Smic651	522	296.244	9	1.41174
Smic652	966	737.836	0	0
Smic653	4089	3860.76	0	0
Smic654	315	106.738	13	5.65963
Smic655	1188	959.76	9	0.435754
Smic656	1059	830.76	67	3.74767
Smic657	933	704.91	43	2.83463
Smic658	1581	1352.76	29	0.996183
