target_id	length	eff_length	est_counts	tpm
Smic265	2493	2285.85	9	0.317445
Smic266	1098	890.845	1	0.0905046
Smic267	2697	2489.85	1564.81	50.6714
Smic268	1731	1523.85	13	0.687821
Smic269	3525	3317.85	35	0.850521
Smic270	2346	2138.85	16	0.603134
Smic271	507	300.827	332.889	89.2188
Smic272	1887	1679.85	93.1108	4.46893
Smic273	2853	2645.85	23	0.700868
Smic274	1287	1079.85	1	0.0746641
Smic275	2667	2459.85	218	7.14532
Smic276	1050	842.845	9	0.86093
Smic277	963	755.845	7	0.746686
Smic278	11742	11534.8	53	0.370456
Smic279	960	752.845	0	0
Smic280	1503	1295.85	17	1.05772
Smic281	10632	10424.8	0	0
Smic282	285	94.0965	4	3.42736
Smic283	495	289.004	6	1.67387
Smic284	2625	2417.85	125	4.16826
Smic285	729	522.114	27	4.16938
Smic286	471	265.502	21	6.37711
Smic287	9933	9725.85	5	0.0414492
Smic288	285	94.0965	4	3.42736
Smic289	9855	9647.85	0	0
Smic290	1692	1484.85	41	2.22626
Smic291	4203	3995.85	13	0.262306
Smic292	417	212.662	0	0
Smic293	375	172.54	3	1.40186
Smic294	3876	3668.85	0	0
Smic295	2931	2723.85	24	0.710398
Smic296	957	749.845	45	4.83854
Smic297	1326	1118.85	20	1.44123
Smic298	1560	1352.85	29	1.72832
Smic299	7095	6887.85	0	0
Smic300	717	510.114	0	0
Smic301	828	621.055	12	1.55785
Smic302	585	378.49	1	0.213019
Smic303	1983	1775.85	31	1.40744
Smic304	1458	1250.85	2	0.128914
Smic305	2694	2486.85	55	1.78315
Smic306	3540	3332.85	0	0
Smic307	6468	6260.85	174	2.24073
Smic308	2484	2276.85	70	2.47878
Smic309	759	552.114	9	1.31428
Smic310	303	108.664	1	0.741969
Smic311	3351	3143.85	33	0.846303
Smic312	9546	9338.85	12	0.1036
Smic313	1254	1046.85	61.501	4.73666
Smic314	1050	842.845	49.499	4.73502
Smic315	369	167.041	5	2.41335
Smic316	6393	6185.85	12	0.156407
Smic317	837	630.055	25	3.19915
Smic318	2460	2252.85	12	0.42946
Smic319	1623	1415.85	0	0
Smic320	828	621.055	2	0.259641
Smic321	990	782.845	0	0
Smic322	504	297.857	4	1.08274
Smic323	486	280.119	1	0.287826
Smic324	270	82.2355	1	0.980424
Smic325	1023	815.845	1	0.0988247
Smic326	750	543.114	3	0.445352
Smic327	321	123.768	0	0
Smic328	597	390.413	1	0.206514
Smic329	204	36.1768	4	8.91463
Smic330	2580	2372.85	12	0.407742
Smic331	3777	3569.85	0	0
Smic332	1272	1064.85	0	0
Smic333	7038	6830.85	66	0.779009
Smic334	3816	3608.85	67	1.49685
Smic335	2499	2291.85	0	0
Smic336	6087	5879.85	0	0
Smic337	636	429.246	11	2.06614
Smic338	2859	2651.85	75	2.28027
Smic339	435	230.173	0	0
