target_id	length	eff_length	est_counts	tpm
Smic372	1122	902.697	137	10.3413
Smic373	852	633.402	21	2.25909
Smic374	2538	2318.7	25	0.734667
Smic375	7395	7175.7	0	0
Smic376	2535	2315.7	111	3.26615
Smic377	19002	18782.7	369	1.33864
Smic378	3291	3071.7	185	4.10381
Smic379	3354	3134.7	536	11.651
Smic380	360	150.78	35	15.8168
Smic381	1926	1706.7	61	2.43539
Smic382	2274	2054.7	1	0.0331625
Smic383	9993	9773.7	307	2.1403
Smic384	1335	1115.7	0	0
Smic385	2238	2018.7	0	0
Smic386	5502	5282.7	88	1.13507
Smic387	753	534.686	49.4841	6.3061
Smic388	1905	1685.7	182	7.35676
Smic389	3837	3617.7	0	0
Smic390	771	552.524	0	0
Smic391	870	651.338	29	3.03379
Smic392	3576	3356.7	907	18.4115
Smic393	1146	926.697	0	0
Smic394	4242	4022.7	0	0
Smic395	1425	1205.7	6	0.339084
Smic396	1122	902.697	0	0
Smic397	3033	2813.7	0	0
Smic398	5229	5009.7	753	10.2418
Smic399	1179	959.697	38	2.69801
Smic400	2073	1853.7	14	0.514617
Smic401	5544	5324.7	97	1.24128
Smic402	3522	3302.7	0	0
Smic403	615	397.676	2	0.342685
Smic404	3873	3653.7	35.0041	0.652801
Smic405	4791	4571.7	0	0
Smic406	915	696.139	0	0
Smic407	1692	1472.7	0	0
Smic408	3540	3320.7	134	2.7496
Smic409	1806	1586.7	0	0
Smic410	228	47.6506	44	62.9186
Smic411.t1	507	290.531	37	8.67769
Smic412	1452	1232.7	105	5.804
Smic413	831	612.464	98	10.9028
Smic414	3327	3107.7	31	0.6797
Smic415	1305	1085.7	15	0.941406
Smic416	6351	6131.7	0	0
Smic417	6318	6098.7	0	0
Smic418	855	636.402	0	0
Smic419	1974	1754.7	31	1.2038
Smic420	504	287.589	47	11.1358
Smic421	561	344.052	31	6.13949
Smic422	1143	923.697	0	0
Smic423	5247	5027.7	85	1.15198
Smic424	834	615.464	15	1.66067
Smic425	1488	1268.7	36	1.93348
Smic426	651	433.469	7	1.10036
Smic427	1695	1475.7	68	3.13983
Smic428	297	96.5441	139	98.1033
Smic429	1023	803.697	41	3.47605
Smic430	549	332.154	76	15.5908
Smic431	609	391.676	0	0
Smic432	552	335.12	38	7.72641
Smic433	1938	1718.7	162	6.42259
Smic434	2205	1985.7	30	1.02944
Smic435	309	106.322	0	0
Smic436	3054	2834.7	69	1.65858
Smic437	1974	1754.7	130	5.04819
Smic438	768	549.524	73	9.05172
Smic439	666	448.424	87	13.2198
Smic440	465	249.165	5	1.36734
Smic441	1722	1502.7	513	23.2616
Smic442	1227	1007.7	4	0.270473
Smic443	978	758.928	0	0
Smic444	882	663.273	0	0
Smic445	474	257.885	43	11.3615
Smic446	1011	791.697	0	0
Smic447	1551	1331.7	65	3.32585
Smic448	1302	1082.7	328	20.6425
Smic449	618	400.636	135	22.9603
